link,headline
b'https://www.healthline.com/nutrition/10-proven-benefits-of-blueberries',b'10 Proven Health Benefits of Blueberries'
b'https://www.medicalnewstoday.com/articles/287710',"b'Blueberries: Health benefits, facts, and research'"
b'https://en.wikipedia.org/wiki/Blueberry',b'Blueberry - Wikipedia'
b'https://www.blueberrycouncil.org/blueberry-nutrition/',b'Blueberry Nutrition - U.S. Highbush Blueberry Council'
b'https://www.almanac.com/plant/blueberries',"b'Blueberries: Planting, Growing, and Harvesting Blueberries | The ...'"
b'https://www.goodhousekeeping.com/health/diet-nutrition/a20916472/blueberries-nutrition/',b'Blueberries Nutrition - Why You Should Eat More Blueberries'
b'https://www.youtube.com/watch?v=_-eIkTfHWBM',b'How to Get FREE Blueberry Plants from Store Bought Blueberries ...'
b'https://www.akc.org/expert-advice/nutrition/can-dogs-eat-blueberries/',b'Can Dogs Eat Blueberries? Are Blueberries Good For Dogs?'
b'https://www.youtube.com/watch?v=aB9U1wTsx2c',b'BLUEBERRY | How Does it Grow? - YouTube'
b'http://www.whfoods.com/genpage.php?tname=foodspice&dbid=8',b'Blueberries'
b'https://greatist.com/health/superfood-blueberries',b'Superfood: Blueberries'
b'https://health.usnews.com/wellness/food/slideshows/proven-health-benefits-of-blueberries',b'7 Health Benefits of Blueberries | US News'
b'https://www.kroger.com/p/blueberries/0003338322241',"b'Blueberries, 18 oz - Kroger'"
b'https://mars.nasa.gov/resources/6944/martian-blueberries/',"b""Martian 'Blueberries' \xe2\x80\x93 NASA's Mars Exploration Program"""
b'https://www.aicr.org/cancer-prevention/food-facts/blueberries/',b'Blueberries - American Institute for Cancer Research'
b'https://www.bowhillblueberries.com/',b'Bow Hill Blueberries | Organic Heirloom Blueberry Products'
b'https://extension.umaine.edu/blueberries/',b'Home - Cooperative Extension: Maine Wild Blueberries - University ...'
b'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2850944/',b'Blueberry Supplementation Improves Memory in Older Adults'
b'https://www.tasteofhome.com/recipes/blueberries-and-cream-coffee-cake/',b'Blueberries and Cream Coffee Cake Recipe | Taste of Home'
b'https://www.ncbi.nlm.nih.gov/pubmed/22175691',"b'Procyanidin, anthocyanin, and chlorogenic acid contents of ...'"
b'https://www.webmd.com/food-recipes/features/blueberries-nutritious-things-come-in-small-packages_',b'The Health Benefits of Blueberries'
b'https://www.driscolls.com/berries/blueberries',"b""Blueberries & Organic Blueberries | Driscoll's"""
b'https://nutritiondata.self.com/facts/fruits-and-fruit-juices/1851/2',"b'Blueberries, raw Nutrition Facts & Calories'"
b'https://draxe.com/nutrition/health-benefits-blueberries/',b'Benefits of Blueberries + Blueberry Nutrition - Dr. Axe'
b'https://www.nytimes.com/2019/06/03/well/eat/blueberries-may-promote-heart-health.html',b'Blueberries May Promote Heart Health - The New York Times'
b'https://nutritionfacts.org/topics/blueberries/',b'Blueberries and Nutrition: The Latest Research | NutritionFacts.org'
b'https://www.verywellfit.com/blueberries-nutrition-facts-calories-and-health-benefits-4109926',b'Blueberry Nutrition Facts and Health Benefits'
b'https://www.target.com/p/blueberries-1-pint-package/-/A-13208898',b'Blueberries - 1 Pint Package : Target'
b'https://poets.org/poem/blueberries',b'Blueberries by Robert Frost - Poems | Academy of American Poets'
b'https://extension.umd.edu/hgic/topics/blueberries',b'Blueberries | University of Maryland Extension'
b'https://www.calorieking.com/us/en/foods/f/calories-in-fresh-fruits-blueberries-raw/QgC81V2wS3m-6Z9HPk0Dpg',"b'Calories in Blueberries, raw | CalorieKing'"
b'https://www.gurneys.com/category/blueberry-plants',"b""Blueberries- Gurney's Blueberry Plants\xe2\x80\x94Standard and Dwarf"""
b'https://examine.com/supplements/blueberry/',"b'Blueberry Supplement \xe2\x80\x94 Health Benefits, Dosage, Side Effects ...'"
b'https://www.amazon.com/Natierra-Natures-Organic-Freeze-Dried-Blueberries/dp/B009M4M6NE',"b""Natierra Nature's Organic Freeze-Dried Blueberries | Gluten Free ..."""
b'https://www.food.com/about/blueberry-67',b'Blueberry - Kitchen Dictionary - Food.com'
b'https://www.nutrition-and-you.com/blueberries.html',b'8 amazing Blueberries nutrition facts and health benefits'
b'http://www.wildblueberries.com/',b'Wild Blueberries: The Blueberriest Blueberry'
b'https://www.latimes.com/health/la-xpm-2011-jan-20-la-heb-fake-blueberries-20110120-story.html',b'Fake blueberries abound in food products - Los Angeles Times'
b'https://www.theatlantic.com/health/archive/2017/11/blueberries/545840/',b'Are Blueberries Really the Healthiest Fruit? - The Atlantic'
b'https://www.npr.org/sections/thesalt/2015/08/04/428984045/how-new-jersey-tamed-the-wild-blueberry-for-global-production',b'New Jersey Born And Bred: How The Wild Blueberry Was Tamed ...'
b'https://aggie-horticulture.tamu.edu/fruit-nut/files/2015/04/blueberries_2015.pdf',b'Blueberries'
b'https://www.bbblueberries.com/',b'Home page of Browns Beautiful Blueberries'
b'https://plantsforhumanhealth.ncsu.edu/2014/04/07/blueberries-reduce-risk-of-parkinsons-boost-brain-function-finds-new-study/',"b""Blueberries Reduce Risk of Parkinson's, Boost Brain Function Finds ..."""
b'https://www.sciencedaily.com/releases/2019/05/190530101221.htm',b'Eating blueberries every day improves heart health -- ScienceDaily'
b'https://www.sciencenews.org/article/wolves-regurgitate-blueberries-pups-diet',b'Wolves regurgitate blueberries for their pups to eat | Science News'
b'https://academic.oup.com/advances/article/11/2/224/5536953',b'Recent Research on the Health Benefits of Blueberries and Their ...'
b'https://foodrevolution.org/blog/are-blueberries-good-for-you/',b'Are Blueberries Good for You? 7 Incredible Reasons to Eat Them ...'
b'http://www.blueberries.com/',b'THE BLUEBERRY PEOPLE :: MBG MARKETING :: GROWING ...'
b'https://extension.umn.edu/fruit/growing-blueberries-home-garden',b'Growing blueberries in the home garden | UMN Extension'
b'http://www.bryantsblueberries.com/',"b""Bryant's Blueberries-Southern Indiana 812 366-3592"""
b'https://www.ams.usda.gov/grades-standards/blueberries-grade-and-standards',b'Blueberries Grade and Standards | Agricultural Marketing Service'
b'https://extension.uga.edu/topic-areas/fruit-vegetable-ornamentals-production/blueberries.html',b'Blueberries | UGA Cooperative Extension'
b'https://wishfarms.com/blueberries-linked-to-healthy-aging-for-seniors/',b'Blueberries Linked to Healthy Aging for Seniors - Wish Farms'
b'https://cuesa.org/food/blueberries',b'Blueberries | CUESA'
b'https://foodfacts.mercola.com/blueberries.html',b'What Are Blueberries Good For? - Mercola.com'
b'https://www.skinnytaste.com/baked-oatmeal-with-blueberries-and/',b'Baked Oatmeal with Blueberries and Bananas'
b'https://legislature.maine.gov/statutes/36/title36ch701sec0.html',"b'Title 36, Chapter 701: BLUEBERRY TAX'"
b'https://snaped.fns.usda.gov/seasonal-produce-guide/blueberries',b'Blueberries | SNAP-Ed'
b'https://www.usda.gov/media/blog/2014/07/03/celebrating-blueberry-fruit-and-industry-really-packs-punch',b'Celebrating the Blueberry - A Fruit and an Industry That Really ...'
b'https://www.rareseeds.com/store/vegetables/tomatoes/wild-boar-farms/blue-berries-tomato',b'Blue Berries Tomato'
b'https://extension.psu.edu/blueberries-in-the-home-fruit-planting',b'Blueberries in the Home Fruit Planting'
b'https://www.canr.msu.edu/blueberries',b'Blueberries'
b'https://www.statelineblueberries.com/',b'STATELINE BLUEBERRIES - Home'
b'https://www.producemarketguide.com/produce/blueberries',b'Blueberries | Produce Market Guide'
b'https://stardewvalleywiki.com/%27Blueberries%27',"b""'Blueberries' - Stardew Valley Wiki"""
b'https://www.realblueberries.com/',"b""Bowerman's Real Blueberries, blueberries, blueberry donuts ..."""
b'https://www.oregonblueberry.com/',b'Oregon Blueberries'
b'https://shop.jenis.com/ice-creams/lemon-blueberries-parfait-pint/',"b""Lemon & Blueberries Parfait Pint - Jeni's Splendid Ice Creams"""
b'https://www.heb.com/product-detail/fresh-blueberries/912194',b'Fresh Blueberries - Shop Berries & Cherries at H-E-B'
b'https://www.wired.com/2014/05/native-bees-increase-blueberry-crop-yields/',b'Native Bees Increase Blueberry Crop Yields | WIRED'
b'https://www.weaversorchard.com/pick-your-own/blueberries/',b'Blueberries - Weavers Orchard'
b'https://underwoodfamilyfarms.com/pick-your-own-blueberries/',b'Pick Your Own Blueberries | Underwood Family Farms'
b'http://www.whatsonmyfood.org/food.jsp?food=BB',"b""Pesticides on Blueberries - What's On My Food"""
b'https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/blueberries',b'Blueberries - an overview | ScienceDirect Topics'
b'https://www.starbucks.com/menu/product/994/single?parent=%2Ffood%2Fhot-breakfast%2Foatmeal',b'Hearty Blueberry Oatmeal: Starbucks Coffee Company'
b'https://www.leafly.com/strains/blueberry',b'Blueberry Marijuana Strain Information | Leafly'
b'https://visitmaine.com/things-to-do/agricultural-attractions/wild-for-blueberries',b'Wild for Blueberries - Visit Maine'
b'https://peddlersvillage.com/event/bluegress-and-blueberries-festival/',"b""Bluegrass & Blueberries Festival - Peddler's Village"""
b'https://fruitsandveggies.org/stories/top-10-ways-to-enjoy-blueberries/',b'Top 10 Ways to Enjoy Blueberries - Have A Plant'
b'https://foodal.com/knowledge/paleo/the-bountiful-benefits-of-blueberries/',b'All About the Bountiful Benefits of Blueberries | Foodal'
b'http://www.lewisfarms.com/american-blueberries',"b'American Blueberries - Lewis Nursery and Farms, Inc. (Corportate ...'"
b'https://www.theguardian.com/lifeandstyle/2020/mar/21/how-to-grow-blueberries',b'How to grow blueberries | Alys Fowler | Life and style | The Guardian'
b'https://wymans.com/product/wild-blueberries/',"b""Wild Blueberries \xe2\x80\x93 Wyman's"""
b'https://www.amway.com/en_US/Shop/Nutrition/Weight-Management/Bars/BodyKey-by-Nutrilite%26trade%3B-Meal-Bars-%26ndash%3B-Blueberries-%26-Yogurt/p/110828',b'Blueberries & Yogurt'
b'https://www.nbcnews.com/news/all/trump-s-trade-war-squeezes-juice-out-maine-s-wild-n1091941',"b""Trump's trade war squeezes the juice out of Maine's wild blueberry ..."""
b'https://extension.unh.edu/resources/files/Resource000578_Rep600.pdf',b'Growing Fruit: Highbush Blueberries'
b'https://ushbc.org/',b'The United States Highbush Blueberry Council'
b'https://www.allrecipes.com/recipe/15373/best-ever-blueberry-cobbler/',b'Best Ever Blueberry Cobbler Recipe - Allrecipes.com'
b'https://ohioline.osu.edu/factsheet/HYG-1422',b'Growing Blueberries in the Home Garden | Ohioline'
b'https://www.godfreysfarm.com/godfreys-farm-pick-your-own-blueberries.html',b'U-Pick Blueberries'
b'https://selfhacked.com/blog/blueberries-health-benefits/',b'6 Health Benefits of Blueberries - SelfHacked'
b'https://edis.ifas.ufl.edu/mg359',"b""CIR1192/MG359: Blueberry Gardener's Guide"""
b'https://catalog.extension.oregonstate.edu/ec1304/html',b'Growing Blueberries in Your Home Garden* | OSU Extension ...'
b'https://blueberrydiapers.com/',b'Blueberry & Me \xe2\x80\x93 Blueberry & Me'
b'https://santabarbarablueberries.com/',"b'Santa Barbara Blueberries, U-Pick, Natural, Blueberries, No Sprays ...'"
b'http://plants.alaska.gov/pdf/Blueberry.pdf',b'Bog Blueberry / Alpine Blueberry'
b'https://www.leducberries.com/',"b'Leduc Blueberries | American Blueberries | Paw Paw, Michigan'"
b'http://www.blueberryranch.com/',"b'The Blueberry Ranch (Mishawaka, IN) - Organic Blueberry Picking'"
b'http://www.childsblueberries.com/',b'CHILDS BLUEBERRY FARM--Sweestest Blueberries on the Planet!'
b'https://www.agmrc.org/commodities-products/fruits/blueberries',b'Blueberries | Agricultural Marketing Resource Center'
